iter	Passed	Remaining
0	148	148576
1	152	75862
2	154	51456
3	157	39113
4	159	31768
5	162	26987
6	166	23683
7	170	21097
8	173	19098
9	176	17428
10	179	16179
11	182	15020
12	185	14096
13	188	13271
14	191	12554
15	194	11938
16	197	11419
17	201	10998
18	204	10579
19	207	10158
20	209	9784
21	212	9447
22	214	9125
23	217	8835
24	219	8565
25	222	8339
26	225	8129
27	228	7941
28	231	7750
29	234	7591
30	238	7446
31	240	7277
32	242	7117
33	245	6964
34	247	6825
35	249	6683
36	251	6556
37	254	6438
38	256	6327
39	259	6227
40	262	6130
41	264	6035
42	267	5951
43	270	5868
44	272	5777
45	274	5703
46	277	5617
47	279	5548
48	282	5474
49	284	5396
50	286	5340
51	289	5269
52	291	5203
53	294	5159
54	297	5106
55	299	5048
56	301	4994
57	303	4935
58	306	4886
59	308	4829
60	310	4773
61	312	4731
62	315	4691
63	318	4651
64	321	4619
65	323	4579
66	326	4539
67	328	4501
68	330	4463
69	333	4428
70	335	4395
71	338	4363
72	341	4332
73	343	4302
74	346	4272
75	348	4241
76	351	4214
77	354	4190
78	357	4166
79	360	4140
80	363	4118
81	365	4094
82	368	4070
83	371	4047
84	373	4023
85	376	3997
86	378	3974
87	381	3952
88	385	3942
89	388	3926
90	391	3908
91	394	3889
92	396	3870
93	400	3856
94	403	3839
95	405	3821
96	408	3805
97	411	3791
98	414	3776
99	418	3763
100	421	3749
101	424	3735
102	427	3720
103	430	3706
104	432	3687
105	434	3667
106	436	3646
107	439	3627
108	441	3611
109	444	3593
110	446	3579
111	449	3562
112	452	3549
113	454	3529
114	456	3513
115	458	3497
116	461	3482
117	463	3466
118	466	3454
119	469	3440
120	471	3425
121	474	3417
122	477	3402
123	479	3386
124	481	3369
125	483	3356
126	486	3341
127	488	3326
128	490	3313
129	492	3297
130	495	3284
131	497	3273
132	500	3260
133	502	3245
134	505	3238
135	508	3228
136	510	3214
137	512	3202
138	514	3188
139	517	3176
140	519	3162
141	521	3149
142	523	3137
143	525	3123
144	527	3112
145	530	3102
146	532	3089
147	534	3078
148	537	3068
149	539	3059
150	542	3050
151	544	3038
152	546	3027
153	549	3016
154	550	3003
155	553	2995
156	556	2986
157	558	2978
158	560	2966
159	563	2958
160	565	2949
161	568	2940
162	571	2933
163	573	2922
164	575	2911
165	577	2903
166	580	2893
167	582	2884
168	585	2878
169	587	2870
170	590	2861
171	592	2853
172	594	2843
173	596	2834
174	599	2827
175	603	2823
176	605	2815
177	607	2805
178	609	2795
179	613	2793
180	615	2785
181	618	2780
182	621	2773
183	623	2764
184	625	2757
185	628	2748
186	630	2741
187	632	2732
188	634	2724
189	637	2716
190	639	2708
191	641	2699
192	644	2693
193	646	2684
194	648	2676
195	650	2669
196	652	2660
197	654	2652
198	657	2645
199	659	2638
200	661	2630
201	663	2621
202	665	2612
203	667	2603
204	669	2597
205	671	2588
206	673	2579
207	675	2571
208	677	2562
209	678	2554
210	680	2546
211	683	2539
212	685	2531
213	687	2523
214	689	2518
215	692	2512
216	694	2505
217	696	2498
218	698	2490
219	700	2484
220	702	2476
221	704	2468
222	706	2460
223	708	2452
224	710	2445
225	712	2439
226	714	2434
227	716	2427
228	719	2420
229	721	2415
230	723	2408
231	725	2402
232	727	2396
233	730	2390
234	732	2383
235	734	2377
236	736	2370
237	738	2365
238	741	2359
239	743	2354
240	745	2348
241	748	2343
242	750	2338
243	752	2331
244	755	2327
245	757	2323
246	760	2317
247	762	2311
248	764	2305
